x,y
1.031765,1.034243
0.663117,0.854665
0.799147,0.959468
1.115793,0.913877
1.113347,0.752483
1.042343,1.057207
0.946797,0.980947
0.891803,0.955745
0.872666,0.930698
1.141751,0.948838
1.169719,2.092415
0.825779,1.845387
0.954998,2.117498
0.894549,1.967500
0.811382,1.806756
1.020434,2.051102
0.931328,2.313578
1.095507,2.061285
0.876645,2.004142
1.214343,1.888898
0.970110,3.228029
0.901771,2.948686
1.222340,3.012736
0.578086,2.970144
0.959608,2.846790
0.904924,3.051407
1.208208,2.939655
0.856771,3.121103
0.622969,3.159320
1.031301,2.995232
0.968880,4.006143
0.989633,4.121118
1.062070,3.845722
1.224699,4.115989
0.860557,3.973914
1.190999,3.868145
1.323230,4.001108
1.110459,3.965219
0.897426,4.047685
1.126905,4.051791
1.181098,4.944608
0.892372,4.780780
1.086860,5.062985
0.806865,5.347710
1.033161,5.202347
0.870861,5.170346
0.954527,5.087047
0.850325,4.809107
0.791695,5.331308
1.075735,5.046805
1.042121,6.028595
0.928730,6.567889
0.680760,6.123194
1.142144,5.947869
0.977185,5.989292
1.073215,5.907405
0.925791,6.017341
0.913760,6.050861
0.906979,6.167532
0.952843,6.007352
0.922893,6.907475
1.172731,7.203672
0.969916,7.039847
0.939148,6.608295
0.811170,7.037391
0.788395,6.985439
1.320266,6.821435
0.824827,7.011323
1.036443,6.674951
0.788839,6.990268
1.111037,8.144071
1.038217,7.782487
1.132277,7.979984
0.723355,7.971939
1.027504,8.316079
1.077524,7.991940
1.231983,7.857982
1.292207,7.864413
1.177591,8.047192
0.780845,7.915738
1.093985,9.038944
1.076239,8.776412
0.724122,8.917122
1.158142,8.617993
1.166238,8.780796
0.955002,9.148775
0.977726,9.171905
0.946784,8.956942
0.794853,8.995250
0.968353,9.101964
1.283131,10.029868
0.903534,10.075301
0.793788,9.996567
1.140561,10.097231
1.079752,9.736511
0.901673,10.076555
1.296394,9.876959
1.162226,9.832796
0.910237,10.037316
0.942212,10.279483
1.951473,1.062607
1.810576,1.041881
1.947511,0.818622
2.022894,0.848633
1.943280,1.086385
1.838742,0.916350
2.150346,0.870686
2.028785,0.882569
1.846042,0.890580
2.232383,0.913809
2.099667,2.019850
2.028150,2.053604
1.864286,1.980908
2.147470,2.400050
2.144592,2.021049
1.879108,1.907638
1.643758,1.949826
1.906600,2.244875
1.716875,1.978524
1.895406,2.162031
2.342702,2.891513
1.905418,3.104321
2.015378,2.845568
1.960927,2.883083
1.793822,3.059933
1.918733,3.031888
2.141251,2.672824
2.164293,2.930604
1.902170,3.049605
2.023070,3.092301
1.980430,4.260971
1.966762,4.049530
1.961684,3.783415
1.925163,3.902518
1.769061,3.812207
2.038089,4.184735
